Index,Movie_title,genres,Logline,Lunch_date,Ratings
480,Walking With Dinosaurs,"Animation, Family, Adventure","Walking with Dinosaurs 3D is a film depicting life-like 3D dinosaur characters set in photo-real landscapes that transports audiences to the prehistoric world as it existed 70 million years ago. The film is based on the 1999 documentary television miniseries Walking with Dinosaurs, produced by the BBC. Walking with Dinosaurs 3D is being produced by Evergreen Studios, the company that produced Happy Feet, and it is was released on October 11, 2013.",12/18/2013,5.2
481,Battlefield Earth,"Action, Science Fiction, War","In the year 3000, man is no match for the Psychlos, a greedy, manipulative race of aliens on a quest for ultimate profit. Led by the powerful Terl, the Psychlos are stripping Earth clean of its natural resources, using the broken remnants of humanity as slaves. What is left of the human race has descended into a near primitive state. After being captured, it is up to Tyler to save mankind.",5/10/2000,3
482,Looney Tunes: Back in Action,"Animation, Comedy, Family","Bugs Bunny and Daffy Duck are up to their feuding ways again. Tired of playing second fiddle to Bugs, Daffy has decided to leave the Studio for good. He is aided by Warner Bros.' humor impaired Vice President of Comedy, Kate Houghton, who releases him from his contract and instructs WB security guard/aspiring stunt man DJ Drake to capture and ""escort"" Daffy off the studio lot.",11/14/2003,5.6
483,Nine,"Drama, Music, Romance","Arrogant, self-centered movie director Guido Contini finds himself struggling to find meaning, purpose, and a script for his latest film endeavor. With only a week left before shooting begins, he desperately searches for answers and inspiration from his wife, his mistress, his muse, and his mother.",12/3/2009,5.1
484,Timeline,"Action, Adventure, Science Fiction",A group of archaeological students become trapped in the past when they go there to retrieve their professor. The group must survive in 14th century France long enough to be rescued.,11/26/2003,5.4
485,The Postman,"Drama, Adventure","In 2013 there are no highways, no I-ways, no dreams of a better tomorrow, only scattered survivors across what was once the Unites States. Into this apocalyptic wasteland comes an enigmatic drifter with a mule, a knack for Shakespeare and something yet undiscovered: the power to inspire hope.",12/25/1997,6.1
486,Babe: Pig in the City,"Adventure, Comedy, Drama, Family, Fantasy","Babe, fresh from his victory in the sheepherding contest, returns to Farmer Hoggett's farm, but after Farmer Hoggett is injured and unable to work, Babe has to go to the big city to save the farm.",11/25/1998,5.2
487,The Last Witch Hunter,"Fantasy, Action, Adventure","The modern world holds many secrets, but by far the most astounding is that witches still live among us; vicious supernatural creatures intent on unleashing the Black Death upon the world and putting an end to the human race once and for all. Armies of witch hunters have battled this unnatural enemy for centuries, including Kaulder, a valiant warrior who many years ago slayed the all-powerful Witch Queen, decimating her followers in the process. In the moments right before her death, the Queen cursed Kaulder with immortality, forever separating him from his beloved wife and daughter. Today, Kaulder is the last living hunter who has spent his immortal life tracking down rogue witches, all the while yearning for his long-lost family.",10/21/2015,5.7
488,Red Planet,"Thriller, Action, Science Fiction","Astronauts search for solutions to save a dying Earth by searching on Mars, only to have the mission go terribly awry.",11/10/2000,5.4
489,Arthur et les Minimoys,"Adventure, Fantasy, Animation, Family","Arthur is a spirited ten-year old whose parents are away looking for work, whose eccentric grandfather has been missing for several years, and who lives with his grandmother in a country house that, in two days, will be repossessed, torn down, and turned into a block of flats unless Arthur's grandfather returns to sign some papers and pay off the family debt. Arthur discovers that the key to success lies in his own descent into the land of the Minimoys, creatures no larger than a tooth, whom his grandfather helped relocate to their garden. Somewhere among them is hidden a pile of rubies, too. Can Arthur be of stout heart and save the day? Romance beckons as well, and a villain lurks.",12/13/2006,6
490,Oceans,"Documentary, Family","An ecological drama/documentary, filmed throughout the globe. Part thriller, part meditation on the vanishing wonders of the sub-aquatic world.",10/17/2009,7.3
491,A Sound of Thunder,"Thriller, Science Fiction, Adventure, Action","When a hunter sent back to the prehistoric era runs off the path he must not leave, he causes a chain reaction that alters history in disastrous ways.",5/15/2005,4.8
492,Pompeii,"Action, Adventure, History, Romance, Drama","Set in 79 A.D., POMPEII tells the epic story of Milo, a slave turned invincible gladiator who finds himself in a race against time to save his true love Cassia, the beautiful daughter of a wealthy merchant who has been unwillingly betrothed to a corrupt Roman Senator. As Mount Vesuvius erupts in a torrent of blazing lava, Milo must fight his way out of the arena in order to save his beloved as the once magnificent Pompeii crumbles around him.",2/18/2014,5.2
493,Don Gato: El inicio de la pandilla,"Comedy, Animation",Top Cat has arrived to charm his way into your hearts! Ever wonder how this scheming feline got his start? Well Top Cat Begins reveals the origins of everything you know and love about this classic comedy hero. What follows is an adventure so crazy that it has to be seen to be believed!,10/30/2015,5.3
494,A Beautiful Mind,"Drama, Romance","At Princeton University, John Nash struggles to make a worthwhile contribution to serve as his legacy to the world of mathematics. He finally makes a revolutionary breakthrough that will eventually earn him the Nobel Prize. After graduate school he turns to teaching, becoming romantically involved with his student Alicia. Meanwhile the government asks his help with breaking Soviet codes, which soon gets him involved in a terrifying conspiracy plot. Nash grows more and more paranoid until a discovery that turns his entire world upside down. Now it is only with Alicia's help that he will be able to recover his mental strength and regain his status as the great mathematician we know him as today..",12/11/2001,7.7
495,The Lion King,"Family, Animation, Drama",A young lion cub named Simba can't wait to be king. But his uncle craves the title for himself and will stop at nothing to get it.,6/23/1994,8
496,Journey 2: The Mysterious Island,"Adventure, Action, Science Fiction","Sean Anderson partners with his mom's boyfriend on a mission to find his grandfather, who is thought to be missing on a mythical island.",1/19/2012,5.8
497,Cloudy with a Chance of Meatballs 2,"Animation, Family, Comedy","After the disastrous food storm in the first film, Flint and his friends are forced to leave the town. Flint accepts the invitation from his idol Chester V to join The Live Corp Company, which has been tasked to clean the island, and where the best inventors in the world create technologies for the betterment of mankind. When Flint discovers that his machine still operates and now creates mutant food beasts like living pickles, hungry tacodiles, shrimpanzees and apple pie-thons, he and his friends must return to save the world.",9/26/2013,6.4
498,Red Dragon,"Crime, Thriller, Horror","Former FBI Agent Will Graham, who was once almost killed by the savage Hannibal 'The Cannibal' Lecter, now has no choice but to face him again, as it seems Lecter is the only one who can help Graham track down a new serial killer.",9/29/2002,6.7
499,Hidalgo,"Western, Adventure","Set in 1890, this is the story of a Pony Express courier who travels to Arabia to compete with his horse, Hidalgo, in a dangerous race for a massive contest prize, in an adventure that sends the pair around the world...",3/5/2004,6.5
